alpha_id,op,window,count_in_alpha,category,transformable
alpha_082,delta,1,1,short,True
alpha_082,ts_rank,13,1,medium,True
alpha_083,delay,2,1,short,True
alpha_083,ts_sum,5,1,short,True
alpha_084,delta,5,1,short,True
alpha_084,ts_max,15,1,medium,True
alpha_084,ts_rank,21,1,medium,True
alpha_085,_adv,30,1,medium,True
alpha_085,correlation,7,1,short,True
alpha_085,correlation,10,1,short,True
alpha_085,ts_rank,4,1,short,True
alpha_085,ts_rank,10,1,short,True
alpha_086,_adv,20,1,medium,True
alpha_086,correlation,6,1,short,True
alpha_086,ts_rank,20,1,medium,True
alpha_086,ts_sum,15,1,medium,True
alpha_087,_adv,81,1,long,True
alpha_087,correlation,13,1,medium,True
alpha_087,decay_linear,3,1,short,True
alpha_087,decay_linear,5,1,short,True
alpha_087,delta,2,1,short,True
alpha_087,ts_rank,14,1,medium,True
alpha_088,_adv,60,1,long,True
alpha_088,correlation,8,1,short,True
alpha_088,decay_linear,7,1,short,True
alpha_088,decay_linear,8,1,short,True
alpha_088,ts_rank,3,1,short,True
alpha_088,ts_rank,8,1,short,True
alpha_088,ts_rank,21,1,medium,True
alpha_089,_adv,10,1,short,True
alpha_089,correlation,7,1,short,True
alpha_089,decay_linear,6,1,short,True
alpha_089,decay_linear,10,1,short,True
alpha_089,delta,3,1,short,True
alpha_089,ts_rank,4,1,short,True
alpha_089,ts_rank,15,1,medium,True
alpha_090,_adv,40,1,other,True
alpha_090,correlation,5,1,short,True
alpha_090,ts_max,5,1,short,True
alpha_090,ts_rank,3,1,short,True
alpha_091,_adv,30,1,medium,True
alpha_091,correlation,4,1,short,True
alpha_091,correlation,10,1,short,True
alpha_091,decay_linear,3,1,short,True
alpha_091,decay_linear,4,1,short,True
alpha_091,decay_linear,16,1,medium,True
alpha_091,ts_rank,5,1,short,True
alpha_092,_adv,30,1,medium,True
alpha_092,correlation,8,1,short,True
alpha_092,decay_linear,7,1,short,True
alpha_092,decay_linear,15,1,medium,True
alpha_092,ts_rank,7,1,short,True
alpha_092,ts_rank,19,1,medium,True
alpha_093,_adv,81,1,long,True
alpha_093,correlation,17,1,medium,True
alpha_093,decay_linear,16,1,medium,True
alpha_093,decay_linear,20,1,medium,True
alpha_093,delta,3,1,short,True
alpha_093,ts_rank,8,1,short,True
alpha_094,_adv,60,1,long,True
alpha_094,correlation,18,1,medium,True
alpha_094,ts_min,12,1,medium,True
alpha_094,ts_rank,3,1,short,True
alpha_094,ts_rank,4,1,short,True
alpha_094,ts_rank,20,1,medium,True
alpha_095,_adv,40,1,other,True
alpha_095,correlation,13,1,medium,True
alpha_095,ts_min,12,1,medium,True
alpha_095,ts_rank,12,1,medium,True
alpha_095,ts_sum,19,2,medium,True
alpha_096,_adv,60,1,long,True
alpha_096,correlation,4,2,short,True
alpha_096,decay_linear,4,1,short,True
alpha_096,decay_linear,14,1,medium,True
alpha_096,ts_argmax,13,1,medium,True
alpha_096,ts_rank,4,1,short,True
alpha_096,ts_rank,7,1,short,True
alpha_096,ts_rank,8,1,short,True
alpha_096,ts_rank,13,1,medium,True
alpha_097,_adv,60,1,long,True
alpha_097,correlation,5,1,short,True
alpha_097,decay_linear,16,1,medium,True
alpha_097,decay_linear,20,1,medium,True
alpha_097,delta,3,1,short,True
alpha_097,ts_rank,7,1,short,True
alpha_097,ts_rank,8,1,short,True
alpha_097,ts_rank,17,1,medium,True
alpha_097,ts_rank,19,1,medium,True
alpha_098,_adv,5,1,short,True
alpha_098,_adv,15,1,medium,True
alpha_098,correlation,5,1,short,True
alpha_098,correlation,21,1,medium,True
alpha_098,decay_linear,7,1,short,True
alpha_098,decay_linear,8,1,short,True
alpha_098,ts_argmin,9,1,short,True
alpha_098,ts_rank,7,1,short,True
alpha_098,ts_sum,26,1,medium,True
alpha_099,_adv,60,1,long,True
alpha_099,correlation,6,1,short,True
alpha_099,correlation,9,1,short,True
alpha_099,ts_sum,20,2,medium,True
alpha_100,_adv,20,1,medium,True
alpha_100,correlation,5,1,short,True
alpha_100,ts_argmin,30,1,medium,True
alpha_101,,,0,,False
